Country,Population
"Russia,",144.5
Germany,83.1
United Kingdom,68
France,67.1
Italy,60.6
Spain,47
Ukraine,42.4
Poland,38.4
Romania,19.5
Netherlands,17.3
Belgium,11.5
Greece,10.7
Czech Republic,10.7
Portugal,10.3
Sweden,10.3
Hungary,9.8
Belarus,9.5
Austria,8.9
Switzerland,8.7
Bulgaria,6.9
Serbia,6.9
Denmark,5.8
Finland,5.5
Slovakia,5.5
Norway,5.4
Ireland,4.9
Croatia,4.1
Bosnia and Herzegovina,3.3
Moldova,2.7
Lithuania,2.8
Albania,2.9
North Macedonia,2.1
Slovenia,2.1
Montenegro,0.6
Luxembourg,0.6
Andorra,0.1
Liechtenstein,0.04
San Marino,0.03
Monaco,0.04
Vatican City,0.0008
